yield,amine_mM,aldehyde_mM,isocyanide_mM,ptsa
0.0008930218673411,270.0,240.0,300.0,0.0219310344827586
-0.0005308204123643,270.0,270.0,300.0,0.0219310344827586
0.0003304853611175,270.0,300.0,300.0,0.0219310344827586
-3.7944664755438624e-05,300.0,120.0,300.0,0.0219310344827586
-0.0002837301828251,300.0,150.0,300.0,0.0219310344827586
0.0010557033595991,300.0,180.0,300.0,0.0219310344827586
4.935600516796754e-05,300.0,210.0,300.0,0.0219310344827586
0.0001180056177629,300.0,240.0,300.0,0.0219310344827586
-0.000551485486545,300.0,270.0,300.0,0.0219310344827586
-0.0004843016170716,300.0,300.0,300.0,0.0219310344827586
-0.000344,120.0,120.0,120.0,0.02474
0.000427,120.0,150.0,120.0,0.02474
0.001301,120.0,180.0,120.0,0.02474
0.000661,120.0,210.0,120.0,0.02474
0.001343,120.0,240.0,120.0,0.02474
0.0031,120.0,270.0,120.0,0.02474
0.002223,120.0,300.0,120.0,0.02474
0.000234,150.0,120.0,120.0,0.02474
-0.000485,180.0,120.0,120.0,0.02474
0.0003159999999999,180.0,180.0,120.0,0.02474
0.0002,180.0,240.0,120.0,0.02474
-0.000387,180.0,300.0,120.0,0.02474
-0.00022,210.0,120.0,120.0,0.02474
0.000918,240.0,120.0,120.0,0.02474
-0.000475,240.0,180.0,120.0,0.02474
1.16276382633e-05,240.0,240.0,120.0,0.02474
0.000223,240.0,300.0,120.0,0.02474
0.00031,270.0,120.0,120.0,0.02474
0.000582,300.0,120.0,120.0,0.02474
7.73998307686e-05,300.0,180.0,120.0,0.02474
0.000653,300.0,240.0,120.0,0.02474
-4.56625890377e-05,300.0,300.0,120.0,0.02474
-0.000728,120.0,120.0,150.0,0.02474
0.0008319999999999,120.0,150.0,150.0,0.02474
0.00085,120.0,180.0,150.0,0.02474
0.00207,120.0,210.0,150.0,0.02474
0.0011709999999999,120.0,240.0,150.0,0.02474
0.0038609999999999,120.0,270.0,150.0,0.02474
0.005132,120.0,300.0,150.0,0.02474
0.00051,150.0,120.0,150.0,0.02474
0.000467,180.0,120.0,150.0,0.02474
0.000328,210.0,120.0,150.0,0.02474
-0.000212,240.0,120.0,150.0,0.02474
0.0002889999999999,270.0,120.0,150.0,0.02474
0.000304,300.0,120.0,150.0,0.02474
0.00142,120.0,120.0,180.0,0.02474
0.000494,120.0,150.0,180.0,0.02474
0.001629,120.0,180.0,180.0,0.02474
0.002887,120.0,210.0,180.0,0.02474
0.002092,120.0,240.0,180.0,0.02474
0.004423,120.0,270.0,180.0,0.02474
0.00693,120.0,300.0,180.0,0.02474
0.000537,150.0,120.0,180.0,0.02474
7.90009960822e-05,180.0,120.0,180.0,0.02474
4.11665357534e-05,180.0,180.0,180.0,0.02474
0.000567,180.0,240.0,180.0,0.02474
0.001119,180.0,300.0,180.0,0.02474
0.000353,210.0,120.0,180.0,0.02474
0.000391,240.0,120.0,180.0,0.02474
-0.0003739999999999,240.0,180.0,180.0,0.02474
